"ManufacturerName","Assignment"
"MYTECS Co.,Ltd.","00092A"
"ProQuent Systems","0008B1"
"EnerLinx.com, Inc.","0008AB"
"Eltromat GmbH","0008AC"
"Peninsula Systems Inc.","0008A5"
"Netbind, Inc.","000899"
"Beijing Enter-Net co.LTD","00089E"
"DIRC Technologie GmbH & Co.KG","000895"
"Lyan Inc.","000891"
"Tropic Networks Inc.","00088B"
"Minds@Work","00088A"
"EMS Dr. Thomas W?nsche","000885"
"Excel Master Ltd.","0008E8"
"SHI ControlSystems,Ltd.","0008E7"
"Barix AG","0008E1"
"SofaWare Technologies Ltd.","0008DA"
"Vanguard Networks Solutions, LLC","0008D5"
"IPMobileNet Inc.","0008CE"
"Soneticom, Inc.","0008C8"
"Hikari Co.,Ltd.","0008C4"
"XENPAK MSA Group","0008BE"
"E.F. Johnson","0008B8"
"Emkay Innovative Products","00078F"
"Clipcomm, Inc.","000788"
"Sungil Telecom Co., Ltd.","000779"
"GERSTEL GmbH & Co. KG","000778"
"Daehanet, Inc.","00076C"
"Eastman Kodak Company","00075C"
"Danfoss A/S","000768"
"Group Sense Limited","000762"
"Lafon","000755"
"Sierra Automated Systems","000741"
"CENiX Inc.","000749"
"Flarion Technologies, Inc.","000735"
"Tenovis GmbH & Co KG","00073B"
"Kistler Instrumente AG","000729"
"North Node AB","00072E"
"Neo Telecom","000728"
"iCanTek Co., Ltd.","000718"
"Raonet Systems, Inc.","000806"
"LANergy Ltd.","0007FD"
"Qqest Software Systems","0007F6"
"Adept Systems Inc.","0007FC"
"Massana, Inc.","0007EA"
"LogiSync LLC","0007F0"
"Navcom Technology, Inc.","0007E3"
"SoftRadio Co., Ltd.","0007E4"
"Cradle Technologies","0007DD"
"Caporis Networks AG","0007D7"
"Quantitative Imaging Corporation","0006E3"
"AT & T Laboratories - Cambridge Ltd","0006DD"
"INNOWELL Corp.","0006A4"
"Alpha Telecom, Inc. U.S.A.","0006D3"
"Tundra Semiconductor Corp.","0006D2"
"Etrali S.A.","000647"
"IPM-Net S.p.A.","0006D9"
"Rednix","0005EA"
"Leaf Imaging Ltd.","0006CD"
"Macrolink, Inc.","0006BC"
"lesswire AG","0006C6"
"Winpresa Building Automation Technologies GmbH","000654"
"Nir-Or Israel Ltd.","0006B6"
"Comtech EF Data Corp.","0006B0"
"European Systems Integration","00071F"
"Telemax Co., Ltd.","000724"
"Interalia Inc.","000707"
"SVA-Intrusion.com Co. Ltd.","00070C"
"Acterna","000711"
"JAL Information Technology","000712"
"IP SQUARE Co, Ltd.","0006FA"
"Maxxan Systems, Inc.","0006EF"
"ELZET80 Mikrocomputer GmbH&Co. KG","0006EA"
"Intime Corp.","0006E9"
"Blue Ridge Networks, Inc.","0005EB"
"Red Lion Controls Inc.","0005E4"
"Vrcom, Inc.","0005F1"
"PacketLight Networks Ltd.","0005FD"
"Creativ Network Technologies","0005E2"
"Trellis Photonics, Ltd.","0005E1"
"Arescom, Inc.","0005D8"
"Vista Imaging, Inc.","0005D7"
"Flaga HF","0005C5"
"Metavector Technologies","0005D1"
"DAP Technologies","0005D2"
"ROIS Technologies, Inc.","0005CB"
"Acqis Technology","00057F"
"Universal Control Solution Corp.","000579"
"CDS-Electronics BV","000575"
"Innomedia Technologies Pvt. Ltd.","00056F"
"Piltofish Networks AB","000568"
"Digital View Limited","000562"
"Kowa Company, Ltd.","00055C"
"360 Systems","000556"
"Vcomms Connect Limited","000550"
"Internet Photonics","000545"
"VisionTek, Inc.","00053F"
"KDDI Network & Solultions Inc.","000546"
"VT Miltope","0006AA"
"Universal Instruments Corp.","0006A9"
"Mx Imaging","0006A0"
"Kuokoa Networks","00069F"
"Vida Design Co.","000699"
"Flexus Computer Technology, Inc.","000693"
"e & Tel","00069A"
"SEPATON, Inc.","00068D"
"Omnitron Systems Technology, Inc.","000687"
"Card Access, Inc.","000680"
"A Brand New World in Sweden AB","000539"
"IPAS GmbH","000526"
"Zoltrix International Limited","00052D"
"Supreme Magic Corporation","00052C"
"Infinite Shanghai Communication Terminals Ltd.","000510"
"KDT Systems Co., Ltd.","000514"
"AVOC Nishimura Ltd.","000509"
"ICONAG","000503"
"ICS Spa","00050A"
"Acronet Co., Ltd.","0004FF"
"ITCN","000641"
"Microwave Data Systems Inc.","00063D"
"Adtranz Sweden","000630"
"Toptrend-Meta Information (ShenZhen) Inc.","000637"
"Serial System Ltd.","000620"
"Zetari Inc.","00061A"
"Melco Industries, Inc.","00060C"
"Prism Holdings","000614"
"RapidWAN, Inc.","000606"
"SICK AG","000677"
"TKH Security Solutions USA","000673"
"Roving Networks","000666"
"Compuprint S.P.A.","00066D"
"Robinson Corporation","00066C"
"Strix Systems","00065A"
"Sencore","00064D"
"NADEX Co., Ltd.","000660"
"Electronic Design Associates, Inc.","0005B8"
"JustEzy Technology, Inc.","0005BF"
"Mediaport USA","0005AE"
"Medison Co., Ltd.","0005B2"
"Zinwell Corporation","00059E"
"KOTT","0005A5"
"CRONOS S.r.l.","000598"
"Lucid Voice Ltd.","0005A4"
"Pultek Corp.","000592"
"IPmental, Inc.","00058B"
"Opentech Inc.","00058C"
"PORTech Communications, Inc.","00037E"
"Metera Networks, Inc.","000383"
"Gigabit Wireless","000377"
"IDEC IZUMI Corporation","00037B"
"ULAN","000372"
"Jasmine Networks, Inc.","000367"
"Mainnet, Ltd.","00036A"
"Scenix Semiconductor, Inc.","000364"
"Pr?ftechnik Condition Monitoring GmbH & Co. KG","00035F"
"Saint Song Corp.","00035C"
"Chiaro Networks, Ltd.","00034D"
"TiMetra Networks","0003FA"
"Chip2Chip","0003F5"
"MKNet Corporation","0003EE"
"Wavelength Digital Limited","0003E8"
"Lexar Media, Inc.","0003DC"
"NextNet Wireless, Inc.","0003D7"
"Alloptic, Inc.","0003D4"
"Hunter Technology, Inc.","00030B"
"KOANKEISO Co., Ltd.","0003D0"
"Tomra Systems ASA","0003C4"
"NBS Technologies Inc.","0004FA"
"Xtera Communications, Inc.","0004F9"
"FS FORTH-SYSTEME GmbH","0004F3"
"Lightpointe Communications, Inc","0004E7"
"Billion Electric Co., Ltd.","0004ED"
"Takagi Industrial Co., Ltd.","0004D6"
"Softlink s.r.o.","0004D0"
"FreeMs Corp.","0004CA"
"OptXCon, Inc.","0004BE"
"CASTOR Informatique","0004C3"
"Allen & Heath Limited","0004C4"
"AMB i.t. Holding","0004B7"
"Signal Technology, Inc.","0004B1"
"Malibu Networks","0004AD"
"Jetstream Communications","0004AA"
"Ipanema Technologies","00049D"
"MacroSystem Digital Video AG","000497"
"Optical Access","000490"
"Poscon Corporation","00048B"
"Axon Digital Design","000341"
"Tateyama System Laboratory Co., Ltd.","00033E"
"Silicon Wave, Inc.","00033A"
"Digitel Co., Ltd.","000333"
"GAI Datenfunksysteme GmbH","00032B"
"ACT'L","000327"
"Scope Information Management, Ltd.","00032E"
"IDIS Co., Ltd.","000322"
"Optranet, Inc.","00031E"
"Atheros Communications","00B052"
"Infineon AG","000319"
"Nobell Communications, Inc.","000316"
"TR-Systemtechnik GmbH","000312"
"Acrowave Systems Co., Ltd.","000447"
"Lava Computer Mfg., Inc.","00043B"
"cyberPIXIE, Inc.","000440"
"Intelligent Telecommunications, Inc.","00043A"
"Accelent Systems, Inc.","000434"
"Sarian Systems, Ltd.","00042D"
"Netous Technologies, Ltd.","00042E"
"Ocular Networks","000421"
"ELAU AG","000417"
"Inkra Networks, Inc.","000411"
"Makino Milling Machine Co., Ltd.","000404"
"Econolite Control Products, Inc.","000481"
"ITTC, University of Kansas","000486"
"Scalant Systems, Inc.","000477"
"Innocom, Inc.","000469"
"ipUnplugged AB","000470"
"Navini Networks","00046A"
"Pulse-Link Inc","000464"
"BEKA Elektronik","00045D"
"Universal Access Technology, Inc.","000457"
"Medrad, Inc.","000451"
"Packet Dynamics Ltd","0003C1"
"OmniCluster Technologies, Inc.","0003BD"
"NetKit Solutions, LLC","0003B8"
"QSI Corporation","0003B6"
"Traxit Technology, Inc.","0003A6"
"Bridge Information Systems","0003AB"
"MAVIX, Ltd.","0003A3"
"SiConnect","00039A"
"Total Impact","00038C"
"AETA","000384"
"Blaze Network Products","000387"
"Fusion In Tech Co., Ltd.","000306"
"JAMA Electronics Co., Ltd.","000303"
"Handan BroadInfoCom","0002FF"
"Media Serve Co., Ltd.","0002F3"
"DX Antenna Co., Ltd.","0002FA"
"DXO Telecom Co., Ltd.","0002ED"
"Timeware Ltd.","0002E5"
"E.D.&A.","0002E8"
"Fujitsu General Limited","0002DC"
"Integrated Network Corporation","0002E1"
"ACR","0002D5"
"FoxJet, Inc.","0002CE"
"Nextcell, Inc.","00B0DB"
"Westport Technologies","00B01C"
"ViaGate Technologies, Inc.","00B02D"
"HiQ Networks","00B03B"
"Netiverse, Inc.","0030A9"
"CALY NETWORKS","00B0F0"
"LocSoft Limited","00B086"
"Canon Imaging Systems Inc.","0030C4"
"Nimble Microsystems, Inc.","00309D"
"Packard Bell Nec Services","003037"
"Hoft & Wessel AG","00302E"
"SHUTTLE, INC.","00301B"
"FASE Saldatura srl","003028"
"AZS Technology AG","0030FB"
"WINCOMM Corporation","0001DA"
"Avail Networks","0001DD"
"Custom Micro Products, Ltd.","0001CE"
"Geocast Network Systems, Inc.","0001CA"
"Netsensity, Inc.","0001B8"
"Peterson Electro-Musical Products, Inc.","0001BD"
"Wayport, Inc.","0001B4"
"Acromag, Inc.","0001C3"
"Teleforce Co., Ltd.","0001BF"
"Coach Master International  d.b.a. CMI Worldwide, Inc.","0001AD"
"ADTEK System Science Co., Ltd.","00017E"
"ROI COMPUTER AG","00018A"
"RTUnet (Australia)","000119"
"YAESU MUSEN CO., LTD.","000125"
"EnjoyWeb, Inc.","000128"
"Tews Datentechnik GmbH","000106"
"Shark Multimedia Inc.","000112"
"EXTRATECH CORPORATION","000115"
"Nagano Japan Radio Co., Ltd.","000109"
"UNIBRAIN S.A.","081443"
"NetWorth Technologies, Inc.","00B0F5"
"ORSYS GmbH","00B02A"
"Symmetricom","00B0AE"
"AudeSi Technologies","00018D"
"LEUNIG GmbH","00019A"
"Hanbyul Telecom Co., Ltd.","000193"
"Logical Co., Ltd.","0001A2"
"Scientific-Atlanta Arcodan A/S","0001A6"
"TechnoLand Co., LTD.","000172"
"TurboComm Tech Inc.","00303F"
"International Microsystems, In","003073"
"Shin Kin Enterprises Co., Ltd","00014D"
"LightChip, Inc.","00016B"
"Cotas Computer Technology A/B","000215"
"Nature Worldwide Technology Corp.","000211"
"Shenzhen SED Information Technology Co., Ltd.","000209"
"Hitachi Denshi, Ltd.","000205"
"Amino Communications, Ltd.","000202"
"Association of Musical Electronics Industry","0001F6"
"SETA Corp.","0001ED"
"Litton Marine Systems B.V.","0001E9"
"Data Track Technology PLC","0002C6"
"Net Vision Telecom","0002C2"
"DAPHNE","0002B4"
"HOYA Corporation","0002AD"
"Effinet Systems Co., Ltd.","0002A6"
"World Wide Packets","0002A1"
"Kreatel Communications AB","00029B"
"Information Equipment Co., Ltd.","00029E"
"Lectron Co,. Ltd.","000296"
"Globetek, Inc.","00028F"
"DNE Technologies","000289"
"Riverstone Networks","000285"
"Mu Net, Inc.","000280"
"Control Applications, Ltd.","000279"
"CC&C Technologies, Inc.","000272"
"BCM Computers Co., Ltd.","00026B"
"Adept Telecom","00026D"
"Soyo Group Soyo Com Tech Co., Ltd","000262"
"Accordion Networks, Inc.","000260"
"Cambridge Silicon Radio","00025B"
"HITACHI, LTD.","000087 F84897"
"Carrier Corporation","000252"
"All-Win Tech Co., Ltd.","000246"
"Chengdu Maipu Electric Industrial Co., Ltd.","00017A"
"Paragon Networks International","000235"
"Serome Technology, Inc.","000238"
"Intersoft Electronics","000230"
"Adtec Corporation","000229"
"One Stop Systems","000225"
"Network Elements, Inc.","00021C"
"DSP Application, Ltd.","000221"
"Conklin Corporation","00016E"
"G3M Corporation","000154"
"GILAT COMMUNICATIONS, LTD.","000150"
"PC Partner Ltd.","00012E"
"SHELCAD COMMUNICATIONS, LTD.","00013A"
"CABLE PRINT","000141"
"Bosch Security Systems, Inc.","000131"
"RiscStation Ltd.","00013D"
"T.D.T. Transfer Data Test GmbH","000149"
"XN TECHNOLOGIES","00D047"
"QWES. COM, INC.","00D018"
"ECTON, INC.","00D048"
"VLSI TECHNOLOGY INC.","00D02F"
"XROSSTECH, INC.","00D025"
"OTIS ELEVATOR COMPANY","00D085"
"TQ - COMPONENTS GMBH","00D093"
"PRIMEX AEROSPACE COMPANY","00D013"
"SOMAT CORPORATION","00D056"
"SYNTECH INFORMATION CO., LTD.","00D017"
"TECHNOLOGY ATLANTA CORP.","00D036"
"AETHRA TELECOMUNICAZIONI","00D0D6"
"Phasys Ltd.","003003"
"DResearch GmbH","0030D5"
"Zaffire","0030CE"
"Procomp Informatics, Ltd.","003095"
"Renesas Technology America, Inc.","003055"
"Convergenet Technologies","0030B0"
"Tenor Networks, Inc.","0030CC"
"MobyTEL","003061"
"DELTAKABEL TELECOM CV","00D0AB"
"NETWORK ENGINES, INC.","00D0A8"
"SBS TECHNOLOGIES,","00D01C"
"O2 MICRO, INC.","00D051"
"ACRISON, INC.","00D06D"
"CARLO GAVAZZI, INC.","0050A1"
"SHAREWAVE, INC.","00D06C"
"ZONEWORX, INC.","00D03A"
"GEMFLEX NETWORKS, LTD.","0050C1"
"VSK ELECTRONICS","0050FB"
"MAYAN NETWORKS","005033"
"TYCO SUBMARINE SYSTEMS, LTD.","0030A0"
"OMNI FLOW COMPUTERS, INC.","0030CB"
"CMOS SYSTEMS, INC.","00306B"
"CYBERNETICS TECH. CO., LTD.","003068"
"SEDONA NETWORKS CORP.","0030E3"
"MIC ASSOCIATES, INC.","00D007"
"STRATEGY & TECHNOLOGY, LIMITED","00D07F"
"HeiTel Digital Video GmbH","003026"
"VIANET TECHNOLOGIES, LTD.","0030A6"
"NISSEI ELECTRIC CO., LTD.","003047"
"GRANITE MICROSYSTEMS","00D0FC"
"MAHLO GMBH & CO. UG","00D042"
"DOLBY LABORATORIES, INC.","00D046"
"SR TELECOM INC.","00D06B"
"AXUS MICROSYSTEMS, INC.","0030AA"
"IDREAM TECHNOLOGIES, PTE. LTD.","003043"
"VISIONETICS INTERNATIONAL","003010"
"ALLIED TELESYN INTERNAIONAL","003084"
"TWO TECHNOLOGIES, INC.","0030CF"
"ELE-CHEM ENGINEERING CO., LTD.","00D0E3"
"XIOX","00D0ED"
"BALTHAZAR TECHNOLOGY AB","00D0C2"
"TEK MICROSYSTEMS, INCORPORATED","00D0FB"
"IOWAVE INC.","00D082"
"TL INDUSTRIES","00D0AD"
"MCQUAY INTERNATIONAL","00D0DB"
"LINKUP SYSTEMS CORPORATION","00D06A"
"TOKO ELECTRIC","00D065"
"ARDENT TECHNOLOGIES, INC.","00D08F"
"VCON TELECOMMUNICATION LTD.","00D0E7"
"MICROFIRST INC.","00D087"
"MACTELL CORPORATION","00D008"
"Fujitsu Siemens Computers","003005"
"BUSTEC PRODUCTION LTD.","00304E"
"OXFORD SEMICONDUCTOR LTD.","0030E0"
"WEBGATE Inc.","0030A1"
"IVA CORPORATION","00303D"
"FLUECKIGER ELEKTRONIK AG","0030C3"
"GIGA FAST E. LTD.","009047"
"Wireless OnLine, Inc.","0090CB"
"AZTEC RADIOMEDIA","00903F"
"A2 CORPORATION","001043"
"Johnson Controls, Inc.","00108D"
"HUGH SYMONS CONCEPT Technologies Ltd.","00108E"
"METTLER-TOLEDO (ALBSTADT) GMBH","001052"
"MICRO LINEAR COPORATION","00100E"
"ARGOSY RESEARCH INC.","0010D7"
"DIABLO RESEARCH CO. LLC","001059"
"ENTRATA COMMUNICATIONS CORP.","0010B6"
"SIRONA DENTAL SYSTEMS GmbH & Co. KG","001019"
"Kontron America, Inc.","001013"
"ALTIGA NETWORKS","0090A4"
"Sartorius Hamburg GmbH","00906C"
"NETWORK COMPUTING DEVICES","0090FC"
"Corecess Inc.","0090A3"
"IVEX","009022"
"SPECTRA LOGIC","0090A5"
"VALID NETWORKS, INC.","0090BA"
"PERSONAL COMMUNICATIONS TECHNOLOGIES","0090EE"
"ENT-EMPRESA NACIONAL DE TELECOMMUNICACOES, S.A.","0090CD"
"NEC DO BRASIL S.A.","009075"
"NAMCO LIMITED","00902E"
"8X8 INC.","0090A0"
"DIGITALCAST, INC.","00907C"
"MITSUBISHI CHEMICAL AMERICA, INC.","0090DF"
"ZILOG INC.","009023"
"BAYLY COMMUNICATIONS, INC.","00908A"
"COHERENT COMMUNICATIONS SYSTEMS CORPORATION","009063"
"APPLIED DIGITAL ACCESS","009041"
"WHITECROSS SYSTEMS","0090D8"
"WAVTrace, Inc.","009011"
"Siemens Network Convergence LLC","009040"
"ICOM INC.","0090C7"
"ALPHA TELECOM, INC.","009035"
"ITIS","009087"
"PRAXON, INC.","00906E"
"SHASTA NETWORKS","009039"
"ONE WORLD SYSTEMS, INC.","00909A"
"DAEWOO ELECTRONICS CO., LTD.","009053"
"Critical IO, LLC","00909E"
"JK microsystems, Inc.","0090C2"
"DigitalScape, Inc.","009091"
"CENTRAL SYSTEM RESEARCH CO., LTD.","0090ED"
"DIGITAL CONTROLS","00901B"
"EDMI","00905C"
"ARTEL VIDEO SYSTEMS","0090D2"
"RSI SYSTEMS","00508C"
"ACCEL, INC.","00502D"
"INOVA COMPUTERS GMBH & CO. KG","0050B8"
"DATONG ELECTRONICS LTD.","00503A"
"OPTIMATION, INC.","00508E"
"CMS TECHNOLOGIES","0050BB"
"IWATSU ELECTRIC CO., LTD.","005051"
"FAST MULTIMEDIA AG","0050BE"
"CommUnique Wireless Corp.","0050AD"
"Xrite Inc","005003"
"PG DESIGN ELECTRONICS, INC.","005023"
"MARINER NETWORKS","005039"
"NETWORK ALCHEMY, INC.","00505A"
"AIWA CO., LTD.","005071"
"Applied Innovation Inc.","009071 004072"
"MYSTICOM, LTD.","009031"
"ADTEC PRODUCTIONS, INC.","00901F"
"ALOHA NETWORKS, INC.","009081"
"AGRANAT SYSTEMS","0090B3"
"SATORI ELECTORIC CO., LTD.","00500D"
"OLICOM A/S","0050EC"
"GILBARCO, INC.","005083"
"VANLINK COMMUNICATION TECHNOLOGY RESEARCH INSTITUTE","0050CF"
"TIVA MICROCOMPUTER CORP. (TMC)","005008"
"YAMASHITA SYSTEMS CORP.","005001"
"TECHNOLOGY ATLANTA CORPORATION","0050B0"
"SIERRA MONITOR CORP.","00504E"
"Tokyo Electron Device Limited","00504D"
"VENTURE MANUFACTURING (SINGAPORE) LTD.","0050F7"
"1394 PRINTER WORKING GROUP","005029"
"PRESSURE SYSTEMS, INC.","00E08D"
"DeskStation Technology, Inc.","00E040"
"COMPUTER & COMMUNICATION RESEARCH LAB.","00E0D6"
"WALT DISNEY IMAGINEERING","00E07E"
"OSAI SRL","00E094"
"MISYS FINANCIAL SYSTEMS, LTD.","00E032"
"W&G SPECIAL PRODUCTS","00E06B"
"DEVELOPMENT CONCEPTS, INC.","00E076"
"IPC INFORMATION SYSTEMS, INC.","00E0A7"
"ESAOTE S.p.A.","00E0A4"
"CONTROL RESOURCES CORPORATION","00E080"
"HERO SYSTEMS, LTD.","00E0CC"
"SAMSON AG","00E099"
"RAIDTEC LTD.","0010E9"
"IMATRON, INC.","001003"
"ADHOC TECHNOLOGIES","0010A9"
"LEXMARK INTERNATIONAL, INC.","000400 002000"
"PictureTel Corp.","00101A"
"WinNet Metropolitan Communications Systems, Inc.","001097"
"TRENTON TECHNOLOGY INC.","00106F"
"Kollmorgen Corp","0010DA"
"RISE COMPUTER INC.","0010DF"
"AWARE, INC.","00109E"
"GVN TECHNOLOGIES, INC.","001072"
"ING. GIORDANO ELETTRONICA","00E019"
"SUNSHINE ELECTRONICS, INC.","00E0D7"
"MERRIMAC SYSTEMS INC.","00E068"
"WebTV NETWORKS, INC.","00E01D"
"AVIDIA Systems, Inc.","00E01F"
"HOLONTECH CORPORATION","00E056"
"AutomatedLogic Corporation","00E0C9"
"MELITA INTERNATIONAL CORP.","00E030"
"BERGHOF AUTOMATIONSTECHNIK GmbH","00E0BA"
"TELMAX COMMUNICATIONS CORP.","00E0B2"
"DIONEX","00E0EF"
"INTERFACE SYSTEMS, INC.","00E0BD"
"EPIS MICROCOMPUTER","00E071"
"TELOGY NETWORKS, INC.","00E0A6"
"Redlake MASD LLC","00E026"
"GATEWAY 2000","00E0B8"
"LTX-Credence CORPORATION","00E088"
"METTLER-TOLEDO, INC.","00E07C"
"NEOPARADIGM LABS, INC.","00E08C"
"EdgePoint Networks, Inc.","00E061"
"FAR SYSTEMS S.p.A.","00E06E"
"SPHERE COMMUNICATIONS, INC.","00E01B"
"XAQTI CORPORATION","00E0AE"
"VIRTUAL ACCESS, LTD.","00E0C8"
"WINBOND ELECTRONICS CORP.","00101D"
"ZODIAC DATA SYSTEMS","00105F"
"FACIT K.K.","0010CB"
"Segate Technology LLC","001075"
"ArrowPoint Communications","001058"
"RELIANCE COMPUTER CORP.","0010A8"
"MEDIA4, INC.","0010AA"
"TELOCITY, INCORPORATED","0010E8"
"INITIO CORPORATION","001010"
"Avaya ECS Ltd","00E007"
"SatCom Media Corporation","001022"
"DATA TRANSMISSION NETWORK","0010C7"
"STARNET TECHNOLOGIES, INC.","001098"
"TRACEWELL SYSTEMS, INC.","001096"
"JNA TELECOMMUNICATIONS LIMITED","001082"
"ENCANTO NETWORKS, INC.","001021"
"VOLAMP, LTD.","0010CE"
"COACTIVE AESTHETICS","0010B2"
"NETLINE","00109A"
"ADEPT TECHNOLOGY","0010EA"
"THE TELECOMMUNICATION TECHNOLOGY COMMITTEE (TTC)","0010BD"
"NetICs, Inc.","0060FD"
"KEBA GmbH","0060B5"
"Superior Modular Products","006027"
"WaveSpan Corporation","0060C1"
"FEEDBACK DATA LTD.","006005"
"FORE SYSTEMS, INC.","00607B"
"Perkin-Elmer Incorporated","00609C"
"ACRES GAMING, INC.","006007"
"DALLAS SEMICONDUCTOR, INC.","006035"
"EXP COMPUTER, INC.","0060F1"
"NETRO CORP.","006040"
"SAHARA NETWORKS, INC.","0060BA"
"T.S. MICROTECH INC.","006096"
"QUICK CONTROLS LTD.","00603A"
"RESILIENCE CORPORATION","0060AC"
"FOURTHTRACK SYSTEMS","0060EB"
"DIGITAL EQUIPMENT CORP.","00606D"
"EDEC CO., LTD.","006014"
"ORCKIT COMMUNICATIONS LTD.","0060E1"
"TELESYNC, INC.","006062"
"ACCU-TIME SYSTEMS, INC.","006095"
"MICROPOLIS CORP.","00A016"
"NASCENT NETWORKS CORPORATION","00A01C"
"IMAGE SCIENCES, INC.","00A0FC"
"CORDANT, INC.","00A0B7"
"Mindray DS USA, Inc.","00A037"
"INNOVATIVE SYSTEMS & TECHNOLOGIES, INC.","00A04C"
"ELECTRONIC RETAILING SYSTEMS INTERNATIONAL","00A0E9"
"POWER MEASUREMENT LTD.","006078"
"Digital Logic GmbH","00600D"
"CITADEL COMPUTER","00608A"
"CS COMPUTER SYSTEME GmbH","00A05D"
"I-TECH CORP.","00A0BD"
"Symmetricom, Inc.","00A069"
"ADVANCED PERIPHERALS TECHNOLOGIES, INC.","00A07A"
"VOELKER TECHNOLOGIES, INC.","00A04E"
"KOFAX IMAGE PRODUCTS","00A05A"
"B/E AEROSPACE, Inc.","00A093"
"WIRELESS DATA GROUP MOTOROLA","00A0BF"
"PHAST CORPORATION","00609F"
"ACER NETXUS INC.","006067"
"Eurotech Inc.","00600C"
"ACTIVE IMAGING PLC","006025"
"MIDAS LAB, INC.","006071"
"MICROSENS GmbH & CO. KG","0060A7"
"CONSERVATION THROUGH INNOVATION LTD.","0060FC"
"ELDAT COMMUNICATION LTD.","0060D4"
"Storage Concepts","006085"
"STELLAR ONE CORPORATION","006018"
"PEAK AUDIO","00602B"
"CLARION CORPORATION OF AMERICA","00606F"
"RICARDO TEST AUTOMATION LTD.","0060ED"
"NEXTEST COMMUNICATIONS PRODUCTS, INC.","0060F6"
"MYRICOM, INC.","0060DD"
"MICRO/SYS, INC.","006092"
"MICROTRONIX DATACOM LTD.","006080"
"NTP ELEKTRONIK A/S","0060DB"
"LEEDS & NORTHRUP AUSTRALIA PTY LTD","00A002"
"OPTIQUEST","00A0E4"
"TRICORD SYSTEMS, INC.","00A01F"
"DIGITAL LINK CORP.","00A0C0"
"AMERICAN TECHNOLOGY LABS, INC.","00A043"
"INTEGRATED FITNESS CORP.","00A047"
"TONYANG NYLON CO., LTD.","00A07C"
"TRANSMITTON LTD.","00A0EC"
"AVID TECHNOLOGY, INC.","00A07E"
"CYLINK CORPORATION","00A035"
"CONNER PERIPHERALS","00A028"
"TADIRAN TELECOMMUNICATIONS","00A0C7"
"GENROCO INTERNATIONAL, INC.","00E0BE"
"HESS SB-AUTOMATENBAU GmbH","00E010"
"DATA LABS, INC.","00E0E9"
"WILTRON CO.","00E0A0"
"GADZOOX NETWORKS","00E024"
"EXXACT GmbH","00E017"
"AMTEC spa","00603B"
"APEX DATA, INC.","0020E5"
"ADVANCED COMPUTER APPLICATIONS","00207D"
"VERSALYNX CORPORATION","0020D0"
"EVERGREEN TECHNOLOGY CORP.","00206C"
"CAMTRONICS MEDICAL SYSTEMS","002012"
"OCTAGON SYSTEMS CORP.","00200B"
"BROWN'S OPERATING SYSTEM SERVICES, LTD.","00209E"
"JAPAN MINICOMPUTER SYSTEMS CO., Ltd.","0020D7"
"OCTEL COMMUNICATIONS CORP.","0020FB"
"COMTECH RESEARCH INC.","0020B1"
"SYNAPSE TECHNOLOGIES, INC.","002033"
"BON ELECTRIC CO., LTD.","002099"
"ORNET DATA COMMUNICATION TECH.","0020AE"
"EFFICIENT NETWORKS, INC.","0020EA"
"SYMMETRICAL TECHNOLOGIES","0020FF"
"LAPIS TECHNOLOGIES, INC.","00208B"
"ISDN SYSTEMS CORPORATION","002069"
"CENTER FOR HIGH PERFORMANCE","0020BA"
"GARRETT COMMUNICATIONS, INC.","002006"
"DIGICOM S.P.A.","00A0A2"
"CAPTOR NV/SA","00A030"
"FIRST VIRTUAL CORPORATION","00A0B1"
"PRETEC ELECTRONICS CORP.","0020CB"
"MICRO INDUSTRIES CORP.","0020AB"
"TAIYO CORPORATION","00202D"
"ESSENTIAL COMMUNICATIONS","00A088"
"Marconi Communication GmbH","00A0FA"
"CSIR","00A014"
"KVB/ANALECT","00A064"
"GSM-SYNTEL, LTD.","00A07F"
"ATM FORUM","00A03E"
"RENEX CORPORATION","00A0A8"
"COMTRON, INC.","002049"
"KOREA COMPUTER INC.","002050"
"EUROTIME AB","00203C"
"WEST EGG SYSTEMS, INC.","002028"
"GLOBAL VIEW CO., LTD.","002014"
"HUNTSVILLE MICROSYSTEMS, INC.","002053"
"DSP SOLUTIONS, INC.","002001"
"PRIMARY ACCESS CORP.","00209C"
"EAGLE TECHNOLOGY","0020C5"
"PACKARD BELL ELEC., INC.","002009"
"RIVA ELECTRONICS","002095"
"JUKI CORPORATION","00203F"
"TELEMATICS CALABASAS INT'L,INC","00C014"
"ISOLATION SYSTEMS, LTD.","00C045"
"LANOPTICS, LTD.","00C000"
"OLIVETTI TELECOM SPA (OLTECO)","00AA3C"
"FONSYS CO.,LTD.","00C079"
"CANOPUS CO., LTD.","002011"
"NORCONTROL A.S.","00C00B"
"SHORE MICROSYSTEMS, INC.","00C0C0"
"RELIA TECHNOLGIES","00C00C"
"CENTRAL DATA CORPORATION","00A0E7"
"BHP LIMITED","00A068"
"ZYKRONIX","00A0B3"
"AUSTRON, INC.","00A06E"
"HILAN GMBH","00A0BB"
"J B M CORPORATION","00A017"
"VIPA GMBH","0020D5"
"MIKRON GMBH","002079"
"GDE SYSTEMS, INC.","0020FA"
"SFA, INC.","002007"
"SCORPION LOGIC, LTD.","002062"
"SOURCE-COMM CORP.","00200A"
"PIXEL POWER LTD.","002003"
